Ballots with first choice:,Number of Ballots,MIKE HUTCHINSON ranked in top 3,ROSIE TORRES ranked in top 3,writeIns ranked in top 3
MIKE HUTCHINSON,4950,4950,2580,382
ROSIE TORRES,6005,2733,6005,425
writeIns,83,12,15,83
