Ballots with first choice:,Number of Ballots,ALICE A. SPEARMAN ranked in top 3,JAMES HARRIS ranked in top 3,writeIns ranked in top 3
ALICE A. SPEARMAN,5966.0,100.0,52.23,7.88
JAMES HARRIS,7986.0,49.69,100.0,7.49
writeIns,154.0,14.29,20.78,100.0
