Ballots with first choice:,Number of Ballots,ANTHONY Di DONATO ranked in top 3,JASPER KINGETER ranked in top 3,LINDA MAIO ranked in top 3,MERRILIE MITCHELL ranked in top 3,writeIns ranked in top 3
ANTHONY Di DONATO,192.0,100.0,57.29,36.98,44.27,1.56
JASPER KINGETER,1278.0,26.29,100.0,55.71,56.03,0.94
LINDA MAIO,3735.0,12.69,45.46,100.0,34.86,0.48
MERRILIE MITCHELL,476.0,30.46,66.81,56.09,100.0,0.63
writeIns,19.0,0.0,0.0,0.0,5.26,100.0
