Ballots with first choice:,Number of Ballots,"Cronin, Fran Albin ranked in top 3","Fantini, Alfred B. ranked in top 3","Gerber, Joyce C. ranked in top 3","Harding, Jr., Richard ranked in top 3","Holland, John J. ranked in top 3","Kadete, Elechi M. ranked in top 3","Kelly, Kathleen M. ranked in top 3","Nolan, Patricia M. ranked in top 3","Osborne, Mervan F. ranked in top 3",writeIns ranked in top 3
"Cronin, Fran Albin",1832.0,100.0,14.14,22.98,13.65,8.3,8.24,28.11,38.54,20.03,0.27
"Fantini, Alfred B.",2858.0,8.33,100.0,9.73,36.63,11.58,4.27,13.51,29.81,11.97,0.17
"Gerber, Joyce C.",1125.0,25.07,14.49,100.0,14.49,14.31,9.78,24.62,46.22,16.0,0.27
"Harding, Jr., Richard",2359.0,7.72,29.08,6.32,100.0,5.6,10.3,15.43,31.92,27.09,0.55
"Holland, John J.",589.0,16.98,27.33,16.13,13.07,100.0,13.07,18.17,26.99,9.51,0.0
"Kadete, Elechi M.",493.0,17.65,13.59,15.21,28.19,10.75,100.0,24.14,23.94,22.52,0.0
"Kelly, Kathleen M.",2102.0,27.26,12.46,18.08,20.41,7.71,10.51,100.0,37.92,20.6,0.19
"Nolan, Patricia M.",3921.0,20.22,21.7,23.26,22.21,7.37,6.66,23.16,100.0,28.11,0.43
"Osborne, Mervan F.",1238.0,23.1,20.68,13.81,28.76,3.55,9.45,22.37,36.27,100.0,0.16
writeIns,72.0,6.94,2.78,1.39,4.17,2.78,1.39,5.56,8.33,5.56,100.0
