Ballots with first choice:,Number of Ballots,Janne Flisrand ranked in top 3,Joe Kovacs ranked in top 3,Lisa Goodman ranked in top 3,Teqen Zéa-Aida ranked in top 3,writeIns ranked in top 3
Janne Flisrand,2833,2833,237,1666,1833,58
Joe Kovacs,602,172,602,261,94,25
Lisa Goodman,4750,2274,547,4750,1781,38
Teqen Zéa-Aida,888,672,79,557,888,26
writeIns,14,4,1,5,1,14
