Ballots with first choice:,Number of Ballots,"Cote, Adam Roland ranked in top 3","Dion, Donna J. ranked in top 3","Dion, Mark N. ranked in top 3","Eves, Mark W. ranked in top 3","Mills, Janet T. ranked in top 3","Russell, Diane Marie ranked in top 3","Sweet, Elizabeth A. ranked in top 3",writeIns ranked in top 3
"Cote, Adam Roland",35497.0,100.0,8.07,20.27,43.94,46.77,6.3,35.81,0.28
"Dion, Donna J.",1600.0,29.44,100.0,25.12,19.06,30.94,20.31,24.19,0.88
"Dion, Mark N.",5208.0,36.06,11.77,100.0,31.24,40.59,13.36,25.54,0.23
"Eves, Mark W.",17897.0,44.35,4.65,15.59,100.0,47.94,10.69,52.47,0.16
"Mills, Janet T.",41765.0,38.87,7.08,19.1,40.05,100.0,9.61,40.96,0.19
"Russell, Diane Marie",2731.0,21.42,14.28,19.19,31.31,35.37,100.0,54.45,0.51
"Sweet, Elizabeth A.",20792.0,35.58,8.73,13.25,48.67,46.21,22.53,100.0,0.25
writeIns,757.0,13.74,5.15,10.57,7.53,12.55,7.53,10.83,100.0
