Ballots with first choice:,Number of Ballots,ANTHONY WILSON ranked in top 3,SHANTHI GONZALES ranked in top 3
ANTHONY WILSON,227.0,100.0,27.75
SHANTHI GONZALES,13964.0,0.21,100.0
