Ballots with first choice:,Number of Ballots,DAN DILLMAN ranked in top 3,DIANA SOUZA ranked in top 3,GREGG DALY ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3
DAN DILLMAN,2246.0,100.0,54.05,1.47,58.64
DIANA SOUZA,5950.0,57.83,100.0,0.08,68.87
GREGG DALY,124.0,64.52,16.94,100.0,66.94
PAULINE RUSSO CUTTER,7889.0,55.76,65.24,0.9,100.0
