Ballots with first choice:,Number of Ballots,ANTHONY B. ''TONY'' SANTOS ranked in top 3,JOHN R. PALAU ranked in top 3,JOYCE RUTLEDGE STAROSCIAK ranked in top 3,LOU FILIPOVICH ranked in top 3,SARA M. MESTAS ranked in top 3,STEPHEN H. CASSIDY ranked in top 3,writeIns ranked in top 3
ANTHONY B. ''TONY'' SANTOS,7982,7982,967,3994,0,1842,3560,93
JOHN R. PALAU,390,111,390,93,0,171,170,8
JOYCE RUTLEDGE STAROSCIAK,5206,2441,635,5206,0,1376,2563,55
LOU FILIPOVICH,9,0,4,0,9,2,5,0
SARA M. MESTAS,925,333,267,383,1,925,375,24
STEPHEN H. CASSIDY,7908,3062,1558,4032,8,2322,7908,106
writeIns,64,5,4,6,0,3,4,64
