Ballots with first choice:,Number of Ballots,LAURIE CAPITELLI ranked in top 3,SOPHIE HAHN ranked in top 3,writeIns ranked in top 3
LAURIE CAPITELLI,4333.0,100.0,37.3,2.84
SOPHIE HAHN,3623.0,36.99,100.0,2.51
writeIns,28.0,21.43,21.43,100.0
