Ballots with first choice:,Number of Ballots,AK Hassan ranked in top 3,Abdi Gurhan Mohamed ranked in top 3,Charles Exner ranked in top 3,writeIns ranked in top 3
AK Hassan,7091,7091,3342,2384,79
Abdi Gurhan Mohamed,5413,2194,5413,1565,46
Charles Exner,2069,958,879,2069,65
writeIns,52,3,2,6,52
