Ballots with first choice:,Number of Ballots,Calvin Louie ranked in top 3,Isaac Wang ranked in top 3,Jose Cisneros ranked in top 3,Manuel B. Valle ranked in top 3
Calvin Louie,43341,43341,22442,19544,11091
Isaac Wang,16175,9824,16175,7489,4741
Jose Cisneros,108155,41186,30388,108155,28792
Manuel B. Valle,8820,4131,3047,3982,8820
