Ballots with first choice:,Number of Ballots,Brad Bourn ranked in top 3,Geneva Hanvik ranked in top 3,Meg Forney ranked in top 3,Steven Jecha ranked in top 3,writeIns ranked in top 3
Brad Bourn,4023,4023,349,1671,882,21
Geneva Hanvik,277,89,277,109,83,2
Meg Forney,3040,903,541,3040,653,17
Steven Jecha,978,305,162,452,978,10
writeIns,36,3,0,2,1,36
