Ballots with first choice:,Number of Ballots,BILLY BOB WHITMER ranked in top 3,JULIAN P. LAGOS ranked in top 3,SEAN R. ELSBERND ranked in top 3,writeIns ranked in top 3
BILLY BOB WHITMER,2994.0,100.0,74.82,65.7,1.8
JULIAN P. LAGOS,5854.0,77.67,100.0,73.11,1.25
SEAN R. ELSBERND,22105.0,40.16,42.72,100.0,0.43
writeIns,212.0,16.98,23.58,13.68,100.0
