Ballots with first choice:,Number of Ballots,CHERI SPIGNER ranked in top 3,KARL DEBRO ranked in top 3,NINA SENN ranked in top 3,SALEEM SHAKIR-GILMORE ranked in top 3
CHERI SPIGNER,1310,1310,600,600,479
KARL DEBRO,5316,1290,5316,2843,2401
NINA SENN,6183,1606,3155,6183,2966
SALEEM SHAKIR-GILMORE,3311,886,1835,1798,3311
