Ballots with first choice:,Number of Ballots,ANTHONY JENKINS ranked in top 3,CRISTY WELSH ranked in top 3,DAVID LAURET ranked in top 3,G. TYCE FLAKE ranked in top 3,HECTOR RAFAEL HERNANDEZ ranked in top 3,KEITH KUDER ranked in top 3,TAY GUDMUNDSON ranked in top 3
ANTHONY JENKINS,93,93,70,12,50,16,9,17
CRISTY WELSH,346,132,346,110,212,50,34,81
DAVID LAURET,154,32,85,154,93,20,45,12
G. TYCE FLAKE,273,73,171,147,273,27,49,26
HECTOR RAFAEL HERNANDEZ,88,25,41,25,29,88,30,15
KEITH KUDER,100,18,42,35,38,16,100,12
TAY GUDMUNDSON,35,14,24,3,12,8,4,35
