Ballots with first choice:,Number of Ballots,BRAD BOURN ranked in top 3,JOSH NEIMAN ranked in top 3,writeIns ranked in top 3
BRAD BOURN,8903.0,100.0,43.67,2.34
JOSH NEIMAN,4775.0,50.3,100.0,3.06
writeIns,61.0,31.15,31.15,100.0
