Ballots with first choice:,Number of Ballots,Jeffrey Alan Wagner ranked in top 3,Lisa Goodman ranked in top 3,Michael J. Katch ranked in top 3,writeIns ranked in top 3
Jeffrey Alan Wagner,321.0,100.0,31.46,63.55,4.67
Lisa Goodman,2997.0,16.22,100.0,18.39,0.53
Michael J. Katch,1042.0,53.45,26.87,100.0,4.32
writeIns,32.0,21.88,18.75,12.5,100.0
