Ballots with first choice:,Number of Ballots,ALICIA WANG ranked in top 3,BRIAN J. LARKIN ranked in top 3,ERIC MAR ranked in top 3,FIDEL CHRYS GAKUBA ranked in top 3,GEORGE FLAMIK ranked in top 3,JASON JUNGREIS ranked in top 3,NICHOLAS C. BELLONI ranked in top 3,SHERMAN R. D''SILVA ranked in top 3,SUE LEE ranked in top 3,writeIns ranked in top 3
ALICIA WANG,4218,4218,575,1657,338,253,349,364,157,2807,6
BRIAN J. LARKIN,998,225,998,201,86,278,152,228,127,228,2
ERIC MAR,11649,5000,871,11649,537,340,736,809,310,4870,67
FIDEL CHRYS GAKUBA,363,101,65,102,363,43,57,72,35,143,1
GEORGE FLAMIK,325,62,128,46,55,325,51,64,47,69,1
JASON JUNGREIS,614,150,150,151,86,76,614,103,68,213,1
NICHOLAS C. BELLONI,537,131,141,104,80,95,68,537,91,152,1
SHERMAN R. D''SILVA,257,53,51,58,33,40,33,92,257,50,0
SUE LEE,9753,6271,952,3252,596,487,669,802,283,9753,34
writeIns,42,0,2,4,0,0,0,1,0,2,42
