Ballots with first choice:,Number of Ballots,BEN MATRANGA ranked in top 3,JOEL ENGARDIO ranked in top 3,JOHN FARRELL ranked in top 3,MIKE YOUNG ranked in top 3,NORMAN YEE ranked in top 3
BEN MATRANGA,6498,6498,3045,3228,1825,1989
JOEL ENGARDIO,7645,4035,7645,2821,1838,2861
JOHN FARRELL,4948,2262,1996,4948,2106,1425
MIKE YOUNG,2004,756,762,967,2004,788
NORMAN YEE,14179,4942,4622,3615,3248,14179
