Ballots with first choice:,Number of Ballots,ALLEN SCHOENFELD ranked in top 3,LEE THOMAS ranked in top 3,VICTOR AGUILAR ranked in top 3
ALLEN SCHOENFELD,1928,1928,1217,1261
LEE THOMAS,7671,4609,7671,5126
VICTOR AGUILAR,4595,2849,3058,4595
