Ballots with first choice:,Number of Ballots,"Bond, Tiffany L. ranked in top 3","DEM Golden, Jared F. ranked in top 3","Hoar, William R.S. ranked in top 3","REP Poliquin, Bruce ranked in top 3"
"Bond, Tiffany L.",16581.0,100.0,50.14,57.34,22.49
"DEM Golden, Jared F.",132091.0,53.19,100.0,46.07,8.93
"Hoar, William R.S.",6917.0,54.5,40.86,100.0,26.17
"REP Poliquin, Bruce",134315.0,25.02,10.72,23.85,100.0
