Ballots with first choice:,Number of Ballots,Bruce Lundeen ranked in top 3,David Schorn ranked in top 3,Lisa Bender ranked in top 3,Saralyn Romanishan ranked in top 3,writeIns ranked in top 3
Bruce Lundeen,419.0,100.0,35.8,25.06,25.54,3.82
David Schorn,709.0,19.04,100.0,50.92,68.83,2.96
Lisa Bender,4886.0,3.23,52.09,100.0,55.55,1.6
Saralyn Romanishan,1562.0,11.27,72.09,60.63,100.0,3.65
writeIns,20.0,0.0,10.0,30.0,25.0,100.0
