Ballots with first choice:,Number of Ballots,Jan Shabro ranked in top 3,Julie Anderson ranked in top 3,Will Baker ranked in top 3,writeIns ranked in top 3
Jan Shabro,63338.0,100.0,64.72,50.2,2.41
Julie Anderson,76634.0,65.15,100.0,53.79,2.38
Will Baker,12978.0,65.11,69.19,100.0,1.5
writeIns,578.0,15.22,17.47,7.09,100.0
