Ballots with first choice:,Number of Ballots,Allen A. Aigbogun ranked in top 3,Cam Gordon ranked in top 3,writeIns ranked in top 3
Allen A. Aigbogun,408,408,115,14
Cam Gordon,2260,320,2260,42
writeIns,21,3,7,21
