Ballots with first choice:,Number of Ballots,BEN MATRANGA ranked in top 3,JOEL ENGARDIO ranked in top 3,JOHN FARRELL ranked in top 3,MIKE YOUNG ranked in top 3,NORMAN YEE ranked in top 3
BEN MATRANGA,6498.0,100.0,46.86,49.68,28.09,30.61
JOEL ENGARDIO,7645.0,52.78,100.0,36.9,24.04,37.42
JOHN FARRELL,4948.0,45.72,40.34,100.0,42.56,28.8
MIKE YOUNG,2004.0,37.72,38.02,48.25,100.0,39.32
NORMAN YEE,14179.0,34.85,32.6,25.5,22.91,100.0
