Ballots with first choice:,Number of Ballots,GORDON WOZNIAK ranked in top 3,JACQUELYN McCORMICK ranked in top 3,STEWART JONES ranked in top 3,writeIns ranked in top 3
GORDON WOZNIAK,2806,2806,1617,1636,42
JACQUELYN McCORMICK,881,518,881,674,12
STEWART JONES,889,554,687,889,32
writeIns,25,8,2,8,25
