Ballots with first choice:,Number of Ballots,ADOLFO CABRAL ranked in top 3,DARRYL MOORE ranked in top 3,DENISHA DELANE ranked in top 3,writeIns ranked in top 3
ADOLFO CABRAL,736.0,100.0,57.47,74.86,2.45
DARRYL MOORE,3407.0,45.82,100.0,51.72,0.91
DENISHA DELANE,1631.0,71.86,55.12,100.0,1.59
writeIns,30.0,30.0,16.67,23.33,100.0
