Ballots with first choice:,Number of Ballots,ABRAHAM SIMMONS ranked in top 3,BARBARA BERWICK ranked in top 3,JANET REILLY ranked in top 3,KAT ANDERSON ranked in top 3,MARK FARRELL ranked in top 3,VILMA B. GUINTO PEORO ranked in top 3,writeIns ranked in top 3
ABRAHAM SIMMONS,2074,2074,342,802,666,887,132,7
BARBARA BERWICK,537,139,537,155,158,241,97,0
JANET REILLY,9898,1896,1158,9898,2150,2915,287,22
KAT ANDERSON,1707,534,376,585,1707,802,79,2
MARK FARRELL,9700,3052,1420,2538,2698,9700,453,35
VILMA B. GUINTO PEORO,160,35,50,43,42,51,160,0
writeIns,18,1,2,3,2,3,2,18
