Ballots with first choice:,Number of Ballots,HUBER TRENADO ranked in top 3,MIKE HASSID ranked in top 3,MIKE HUTCHINSON ranked in top 3,ROSIE TORRES ranked in top 3
HUBER TRENADO,4941,4941,2164,1089,2297
MIKE HASSID,1456,840,1456,330,730
MIKE HUTCHINSON,2122,702,522,2122,1225
ROSIE TORRES,4786,2239,1470,1343,4786
