Ballots with first choice:,Number of Ballots,AIMEE ENG ranked in top 3,WILLIAM ''BO'' GHIRARDELLI ranked in top 3
AIMEE ENG,8907,8907,3834
WILLIAM ''BO'' GHIRARDELLI,2803,1523,2803
