Ballots with first choice:,Number of Ballots,Harvey Curley ranked in top 3,Larry Edwards ranked in top 3,Mary Hall-Rayford ranked in top 3,Sarah A. Lucido ranked in top 3,writeIns ranked in top 3
Harvey Curley,1611.0,100.0,33.33,28.99,67.6,0.74
Larry Edwards,464.0,41.16,100.0,48.28,51.51,2.16
Mary Hall-Rayford,1058.0,37.33,41.4,100.0,66.45,1.89
Sarah A. Lucido,1854.0,50.38,39.81,52.21,100.0,1.13
writeIns,19.0,15.79,10.53,15.79,21.05,100.0
