Ballots with first choice:,Number of Ballots,Art Belenson ranked in top 3,Christine Linnenbach ranked in top 3,David Parker ranked in top 3,Gregory Corrales ranked in top 3,Isaac Wang ranked in top 3,Michael Patrick Mallen ranked in top 3,Milton `Rennie` O`Brien ranked in top 3,Pat Lakey ranked in top 3,Sean R. Elsbernd ranked in top 3,Shawn Reifsteck ranked in top 3,Sheela Kini ranked in top 3,Svelana Kaff ranked in top 3,Vernon C. Grigg III ranked in top 3
Art Belenson,510,510,156,36,78,40,35,76,35,165,48,35,20,68
Christine Linnenbach,6784,360,6784,234,932,651,588,1327,504,2262,1725,312,301,1442
David Parker,348,29,57,348,48,60,59,79,35,69,52,34,43,31
Gregory Corrales,2560,162,789,164,2560,313,377,619,154,728,137,129,124,313
Isaac Wang,2728,133,545,204,296,2728,252,665,150,648,218,258,99,235
Michael Patrick Mallen,975,43,300,96,185,126,975,217,99,220,128,42,31,107
Milton `Rennie` O`Brien,2372,111,668,154,476,360,296,2372,223,649,327,227,140,253
Pat Lakey,763,31,214,45,73,82,65,161,763,221,76,65,45,112
Sean R. Elsbernd,10505,668,3814,466,1835,1240,1072,2023,1242,10505,772,205,310,1748
Shawn Reifsteck,1108,50,356,80,88,134,90,284,140,263,1108,160,59,168
Sheela Kini,349,16,78,27,46,54,26,117,43,39,89,349,33,17
Svelana Kaff,546,43,164,82,90,73,36,99,29,118,41,29,546,56
Vernon C. Grigg III,2091,116,879,72,240,204,176,295,170,784,297,48,89,2091
