Ballots with first choice:,Number of Ballots,PHOEBE SORGEN ranked in top 3,SUSAN WENGRAF ranked in top 3,writeIns ranked in top 3
PHOEBE SORGEN,292,292,48,26
SUSAN WENGRAF,5601,33,5601,61
writeIns,84,0,8,84
