Ballots with first choice:,Number of Ballots,AMY FARAH WEISS ranked in top 3,ED LEE ranked in top 3,FRANCISCO HERRERA ranked in top 3,KENT GRAHAM ranked in top 3,REED MARTIN ranked in top 3,STUART SCHUFFMAN ranked in top 3,writeIns ranked in top 3
AMY FARAH WEISS,23236,23236,3657,13609,4201,3368,12046,7
ED LEE,105771,18958,105771,14759,10843,6787,9276,6
FRANCISCO HERRERA,28805,18932,3719,28805,3565,3927,13570,5
KENT GRAHAM,8827,2935,1943,2188,8827,1725,2389,2
REED MARTIN,4660,2007,984,1297,1358,4660,1361,2
STUART SCHUFFMAN,18347,10995,2239,10045,2487,2539,18347,7
writeIns,61,14,6,20,5,4,18,61
