Ballots with first choice:,Number of Ballots,IGOR A. TREGUB ranked in top 3,MARGO SCHUELER ranked in top 3,MARY BEHM-STEINBERG ranked in top 3,RASHI KESARWANI ranked in top 3
IGOR A. TREGUB,2811.0,100.0,60.97,33.08,51.73
MARGO SCHUELER,1216.0,60.86,100.0,26.81,61.68
MARY BEHM-STEINBERG,345.0,44.35,56.23,100.0,36.52
RASHI KESARWANI,3500.0,61.66,61.09,18.51,100.0
