Ballots with first choice:,Number of Ballots,DAN DILLMAN ranked in top 3,MORGAN MACK-ROSE ranked in top 3,URSULA REED ranked in top 3,writeIns ranked in top 3
DAN DILLMAN,4823.0,100.0,67.03,64.25,2.16
MORGAN MACK-ROSE,9666.0,65.67,100.0,73.24,1.53
URSULA REED,10734.0,62.61,69.56,100.0,1.14
writeIns,213.0,12.21,13.62,6.1,100.0
