Ballots with first choice:,Number of Ballots,LEE THOMAS ranked in top 3,"VICTOR AGUILAR, JR. ranked in top 3"
LEE THOMAS,11358,11358,6423
"VICTOR AGUILAR, JR.",11902,7570,11902
