Ballots with first choice:,Number of Ballots,CHESA BOUDIN ranked in top 3,LEIF DAUTCH ranked in top 3,NANCY TUNG ranked in top 3,SUZY LOFTUS ranked in top 3,writeIns ranked in top 3
CHESA BOUDIN,68792.0,100.0,32.64,24.05,30.98,0.0
LEIF DAUTCH,27025.0,37.79,100.0,52.36,44.16,0.0
NANCY TUNG,37347.0,30.56,49.72,100.0,42.79,0.01
SUZY LOFTUS,60002.0,26.88,36.17,34.37,100.0,0.0
writeIns,4.0,0.0,50.0,25.0,0.0,100.0
