Ballots with first choice:,Number of Ballots,Andrew Sullivan ranked in top 3,Bill Barnes ranked in top 3,Brett Wheeler ranked in top 3,Dan Kalb ranked in top 3,Emmett Gilman ranked in top 3,Francis Somesel ranked in top 3,H. Brown ranked in top 3,Jim Siegel ranked in top 3,Joseph Blue ranked in top 3,Julian Davis ranked in top 3,Lisa Feldstein ranked in top 3,Michael E. O'connor ranked in top 3,Nick Waugh ranked in top 3,Patrick M. Ciocca ranked in top 3,Phillip House ranked in top 3,Phoenix Streets ranked in top 3,Rob Anderson ranked in top 3,Robert Haaland ranked in top 3,Ross Mirkarimi ranked in top 3,Susan C. King ranked in top 3,Tys Sniffen ranked in top 3,Vivian Wilder ranked in top 3
Andrew Sullivan,2477.0,100.0,7.87,5.61,10.29,1.45,6.7,0.4,19.7,4.84,2.02,15.99,5.37,37.75,1.33,0.28,2.62,1.61,12.19,17.52,3.19,10.78,0.93
Bill Barnes,1664.0,7.09,100.0,7.81,14.06,3.49,3.79,1.44,4.15,5.05,3.12,21.09,4.93,13.1,0.72,0.06,8.53,1.86,26.44,27.22,9.8,2.46,2.1
Brett Wheeler,832.0,9.86,12.74,100.0,14.66,3.25,2.04,0.36,6.97,3.37,6.73,18.99,6.85,16.95,0.72,0.6,6.01,4.45,16.95,27.28,10.58,1.92,2.28
Dan Kalb,1398.0,10.01,13.95,11.23,100.0,2.07,4.15,0.72,5.36,2.58,3.51,23.53,3.22,17.24,1.07,1.07,4.86,3.15,21.39,27.61,11.59,3.58,3.08
Emmett Gilman,393.0,8.14,7.38,6.62,7.63,100.0,4.83,2.54,12.98,4.83,4.58,22.9,5.09,10.18,1.78,1.02,7.38,1.53,15.01,22.39,10.18,4.07,2.8
Francis Somesel,368.0,21.2,10.6,4.62,10.05,8.7,100.0,0.82,18.48,11.68,2.99,8.15,11.41,9.51,2.72,0.54,4.62,1.63,8.97,17.12,5.98,6.52,2.17
H. Brown,57.0,12.28,14.04,5.26,5.26,10.53,1.75,100.0,8.77,7.02,12.28,17.54,5.26,1.75,5.26,0.0,5.26,8.77,10.53,5.26,10.53,1.75,8.77
Jim Siegel,1540.0,33.38,5.13,5.26,6.69,2.99,12.4,0.52,100.0,8.31,2.66,9.68,11.95,13.44,1.3,0.19,3.64,2.53,7.14,17.27,4.03,22.92,0.97
Joseph Blue,802.0,8.23,11.35,5.24,6.73,4.36,3.99,1.25,9.48,100.0,2.62,18.83,7.23,10.6,2.0,1.37,9.23,2.99,14.96,14.84,6.86,3.37,2.74
Julian Davis,418.0,4.78,5.5,10.29,8.85,5.5,3.11,2.87,6.22,3.35,100.0,16.99,8.37,10.05,2.63,1.44,7.66,5.5,12.68,21.29,17.46,5.98,2.15
Lisa Feldstein,3257.0,9.06,11.97,5.43,13.33,4.33,2.09,0.52,5.1,3.99,3.22,100.0,2.79,14.92,0.58,0.55,5.43,1.63,30.8,34.39,12.53,4.08,2.39
Michael E. O'connor,868.0,9.1,4.84,3.92,6.68,3.92,4.15,0.58,21.66,4.26,8.18,12.79,100.0,7.6,1.73,2.42,5.65,4.84,13.48,18.78,10.6,14.52,2.76
Nick Waugh,3025.0,16.43,9.65,7.07,12.93,1.85,1.69,0.5,6.15,3.93,3.44,18.05,4.3,100.0,0.96,0.26,5.92,3.37,20.4,28.17,9.39,4.66,2.21
Patrick M. Ciocca,91.0,16.48,4.4,4.4,3.3,5.49,6.59,1.1,13.19,9.89,9.89,7.69,9.89,9.89,100.0,0.0,9.89,7.69,10.99,14.29,8.79,10.99,3.3
Phillip House,62.0,4.84,1.61,4.84,4.84,8.06,4.84,6.45,3.23,6.45,14.52,20.97,6.45,4.84,1.61,100.0,4.84,4.84,9.68,11.29,16.13,1.61,3.23
Phoenix Streets,657.0,4.72,11.26,9.13,10.05,4.57,2.28,1.67,4.11,6.85,4.11,20.09,5.33,12.79,1.98,1.83,100.0,7.46,16.59,25.57,12.48,5.94,3.35
Rob Anderson,336.0,2.98,4.46,13.69,11.61,1.19,0.6,4.17,8.93,2.38,11.01,8.93,11.9,11.61,3.27,2.08,11.31,100.0,15.48,13.69,18.45,6.85,4.76
Robert Haaland,5124.0,5.89,25.16,3.83,25.37,1.97,0.88,0.55,3.79,2.5,2.38,28.75,2.81,14.4,0.55,0.35,4.22,2.48,100.0,31.93,7.94,2.03,1.25
Ross Mirkarimi,9947.0,5.29,8.61,4.45,10.2,2.63,0.98,0.38,3.82,2.15,2.84,47.94,4.16,13.14,0.57,0.74,4.5,1.48,49.21,100.0,8.67,3.57,0.73
Susan C. King,977.0,3.89,6.24,9.31,15.25,2.05,3.07,1.33,6.65,2.35,7.57,26.61,7.37,13.31,1.43,0.82,7.88,6.24,15.05,22.72,100.0,2.87,7.27
Tys Sniffen,686.0,13.27,5.39,4.08,10.35,3.79,2.48,0.87,16.91,3.06,2.92,16.62,8.6,16.91,1.02,0.44,4.66,3.21,14.58,24.78,8.02,100.0,1.75
Vivian Wilder,130.0,3.85,3.08,6.92,13.85,4.62,9.23,1.54,6.15,3.85,12.31,20.77,6.92,6.15,3.08,0.77,10.77,5.38,15.38,16.15,20.77,3.85,100.0
