Ballots with first choice:,Number of Ballots,CHRISTINE JOHNSON ranked in top 3,MATT HANEY ranked in top 3,SONJA TRAUSS ranked in top 3
CHRISTINE JOHNSON,6267,6267,4265,4685
MATT HANEY,14288,7861,14288,7609
SONJA TRAUSS,4775,3847,3204,4775
