Ballots with first choice:,Number of Ballots,BEN GOULD ranked in top 3,BERNT RAINER WAHL ranked in top 3,GUY ''MIKE'' LEE ranked in top 3,JESSE ARREGUÍN ranked in top 3,KRISS WORTHINGTON ranked in top 3,LAURIE CAPITELLI ranked in top 3,NAOMI D. PETE ranked in top 3,ZACHARY RUNNINGWOLF ranked in top 3
BEN GOULD,1744,1744,370,222,779,457,632,74,278
BERNT RAINER WAHL,1673,546,1673,214,482,583,419,121,294
GUY ''MIKE'' LEE,954,209,136,954,305,219,213,103,286
JESSE ARREGUÍN,29039,3908,1682,3807,29039,15043,11115,612,3637
KRISS WORTHINGTON,4746,579,629,490,2994,4746,1878,211,565
LAURIE CAPITELLI,18995,3049,1551,967,8710,5180,18995,421,1300
NAOMI D. PETE,372,47,34,72,71,91,103,372,75
ZACHARY RUNNINGWOLF,1621,286,303,438,497,386,377,150,1621
