Ballots with first choice:,Number of Ballots,"Abbott, Heather ranked in top 3","Bell, Arthur L. ranked in top 3","Fromuth, Peter J. ranked in top 3"
"Abbott, Heather",892.0,100.0,79.04,76.68
"Bell, Arthur L.",979.0,76.3,100.0,77.63
"Fromuth, Peter J.",623.0,79.45,82.5,100.0
