Ballots with first choice:,Number of Ballots,JEFF SHEEHY ranked in top 3,LAWRENCE ''STARK'' DAGESSE ranked in top 3,RAFAEL MANDELMAN ranked in top 3
JEFF SHEEHY,12669.0,100.0,45.21,66.48
LAWRENCE ''STARK'' DAGESSE,597.0,70.02,100.0,74.2
RAFAEL MANDELMAN,19996.0,62.34,38.52,100.0
