Ballots with first choice:,Number of Ballots,BILLY BOB WHITMER ranked in top 3,JULIAN P. LAGOS ranked in top 3,SEAN R. ELSBERND ranked in top 3,writeIns ranked in top 3
BILLY BOB WHITMER,2994,2994,2240,1967,54
JULIAN P. LAGOS,5854,4547,5854,4280,73
SEAN R. ELSBERND,22105,8877,9444,22105,96
writeIns,212,36,50,29,212
