Ballots with first choice:,Number of Ballots,ALEJANDRO SOTO-VIGIL ranked in top 3,LINDA MAIO ranked in top 3,MERRILIE MITCHELL ranked in top 3
ALEJANDRO SOTO-VIGIL,2270.0,100.0,62.91,50.57
LINDA MAIO,3038.0,57.37,100.0,41.61
MERRILIE MITCHELL,256.0,58.2,60.16,100.0
