Ballots with first choice:,Number of Ballots,JENNY WONG ranked in top 3,VLADISLAV S. DAVIDZON ranked in top 3
JENNY WONG,46337,46337,15299
VLADISLAV S. DAVIDZON,4008,2503,4008
