Ballots with first choice:,Number of Ballots,CHERI SPIGNER ranked in top 3,KARL DEBRO ranked in top 3,NINA SENN ranked in top 3,SALEEM SHAKIR-GILMORE ranked in top 3
CHERI SPIGNER,1310.0,100.0,45.8,45.8,36.56
KARL DEBRO,5316.0,24.27,100.0,53.48,45.17
NINA SENN,6183.0,25.97,51.03,100.0,47.97
SALEEM SHAKIR-GILMORE,3311.0,26.76,55.42,54.3,100.0
