Ballots with first choice:,Number of Ballots,Betsy Hodges ranked in top 3,Joseph Henry ranked in top 3,Kris Broberg ranked in top 3,writeIns ranked in top 3
Betsy Hodges,4141.0,100.0,32.94,22.77,0.85
Joseph Henry,256.0,60.16,100.0,39.84,1.95
Kris Broberg,1578.0,27.06,29.91,100.0,3.04
writeIns,6.0,16.67,33.33,33.33,100.0
