Ballots with first choice:,Number of Ballots,ABEL GUILLÉN ranked in top 3,KENZIE DONTE SMITH ranked in top 3,NIKKI FORTUNATO BAS ranked in top 3
ABEL GUILLÉN,8323.0,100.0,41.81,57.64
KENZIE DONTE SMITH,1349.0,54.48,100.0,65.75
NIKKI FORTUNATO BAS,11310.0,58.1,54.07,100.0
