Ballots with first choice:,Number of Ballots,Andrew Sullivan ranked in top 3,Bill Barnes ranked in top 3,Brett Wheeler ranked in top 3,Dan Kalb ranked in top 3,Emmett Gilman ranked in top 3,Francis Somesel ranked in top 3,H. Brown ranked in top 3,Jim Siegel ranked in top 3,Joseph Blue ranked in top 3,Julian Davis ranked in top 3,Lisa Feldstein ranked in top 3,Michael E. O'connor ranked in top 3,Nick Waugh ranked in top 3,Patrick M. Ciocca ranked in top 3,Phillip House ranked in top 3,Phoenix Streets ranked in top 3,Rob Anderson ranked in top 3,Robert Haaland ranked in top 3,Ross Mirkarimi ranked in top 3,Susan C. King ranked in top 3,Tys Sniffen ranked in top 3,Vivian Wilder ranked in top 3
Andrew Sullivan,2477,2477,195,139,255,36,166,10,488,120,50,396,133,935,33,7,65,40,302,434,79,267,23
Bill Barnes,1664,118,1664,130,234,58,63,24,69,84,52,351,82,218,12,1,142,31,440,453,163,41,35
Brett Wheeler,832,82,106,832,122,27,17,3,58,28,56,158,57,141,6,5,50,37,141,227,88,16,19
Dan Kalb,1398,140,195,157,1398,29,58,10,75,36,49,329,45,241,15,15,68,44,299,386,162,50,43
Emmett Gilman,393,32,29,26,30,393,19,10,51,19,18,90,20,40,7,4,29,6,59,88,40,16,11
Francis Somesel,368,78,39,17,37,32,368,3,68,43,11,30,42,35,10,2,17,6,33,63,22,24,8
H. Brown,57,7,8,3,3,6,1,57,5,4,7,10,3,1,3,0,3,5,6,3,6,1,5
Jim Siegel,1540,514,79,81,103,46,191,8,1540,128,41,149,184,207,20,3,56,39,110,266,62,353,15
Joseph Blue,802,66,91,42,54,35,32,10,76,802,21,151,58,85,16,11,74,24,120,119,55,27,22
Julian Davis,418,20,23,43,37,23,13,12,26,14,418,71,35,42,11,6,32,23,53,89,73,25,9
Lisa Feldstein,3257,295,390,177,434,141,68,17,166,130,105,3257,91,486,19,18,177,53,1003,1120,408,133,78
Michael E. O'connor,868,79,42,34,58,34,36,5,188,37,71,111,868,66,15,21,49,42,117,163,92,126,24
Nick Waugh,3025,497,292,214,391,56,51,15,186,119,104,546,130,3025,29,8,179,102,617,852,284,141,67
Patrick M. Ciocca,91,15,4,4,3,5,6,1,12,9,9,7,9,9,91,0,9,7,10,13,8,10,3
Phillip House,62,3,1,3,3,5,3,4,2,4,9,13,4,3,1,62,3,3,6,7,10,1,2
Phoenix Streets,657,31,74,60,66,30,15,11,27,45,27,132,35,84,13,12,657,49,109,168,82,39,22
Rob Anderson,336,10,15,46,39,4,2,14,30,8,37,30,40,39,11,7,38,336,52,46,62,23,16
Robert Haaland,5124,302,1289,196,1300,101,45,28,194,128,122,1473,144,738,28,18,216,127,5124,1636,407,104,64
Ross Mirkarimi,9947,526,856,443,1015,262,97,38,380,214,282,4769,414,1307,57,74,448,147,4895,9947,862,355,73
Susan C. King,977,38,61,91,149,20,30,13,65,23,74,260,72,130,14,8,77,61,147,222,977,28,71
Tys Sniffen,686,91,37,28,71,26,17,6,116,21,20,114,59,116,7,3,32,22,100,170,55,686,12
Vivian Wilder,130,5,4,9,18,6,12,2,8,5,16,27,9,8,4,1,14,7,20,21,27,5,130
