Ballots with first choice:,Number of Ballots,DEBORAH COX ranked in top 3,EVA ARCE ranked in top 3,KENNETH PON ranked in top 3
DEBORAH COX,16190,16190,9988,10014
EVA ARCE,3951,2534,3951,2566
KENNETH PON,4708,3103,2891,4708
