Ballots with first choice:,Number of Ballots,CHRIS CUNNIE ranked in top 3,DAVID WONG ranked in top 3,PAUL MIYAMOTO ranked in top 3,ROSS MIRKARIMI ranked in top 3
CHRIS CUNNIE,51602.0,100.0,16.92,51.83,39.4
DAVID WONG,11360.0,36.56,100.0,54.99,38.35
PAUL MIYAMOTO,49814.0,53.07,27.18,100.0,40.31
ROSS MIRKARIMI,70457.0,35.9,12.31,36.45,100.0
