Ballots with first choice:,Number of Ballots,Andrew Johnson ranked in top 3,Harrison Bullard ranked in top 3,Will Jaeger ranked in top 3,writeIns ranked in top 3
Andrew Johnson,8875,8875,2470,2606,138
Harrison Bullard,316,203,316,221,9
Will Jaeger,958,509,503,958,28
writeIns,35,4,5,6,35
