Ballots with first choice:,Number of Ballots,Kevin Reich ranked in top 3,Larry Ranallo ranked in top 3,Mark Fox ranked in top 3,Susan Howitz Hanna ranked in top 3,Thomas Alessi ranked in top 3,writeIns ranked in top 3
Kevin Reich,1997,1997,531,263,955,102,17
Larry Ranallo,941,341,941,122,283,151,8
Mark Fox,153,69,51,153,49,32,4
Susan Howitz Hanna,535,336,186,70,535,34,5
Thomas Alessi,340,46,156,82,53,340,7
writeIns,3,1,1,0,0,0,3
