Ballots with first choice:,Number of Ballots,Billy Menz ranked in top 3,Chris Meyer ranked in top 3,Mohamed Issa Barre ranked in top 3,writeIns ranked in top 3
Billy Menz,5069,5069,2808,2250,62
Chris Meyer,6357,3852,6357,2860,96
Mohamed Issa Barre,2792,1487,1495,2792,25
writeIns,82,8,5,3,82
