Ballots with first choice:,Number of Ballots,ABDI ABDULLE ranked in top 3,ALONDRA CANO ranked in top 3,CHARLES CURTIS ranked in top 3,GREGORY MCDONALD ranked in top 3,PAT FLEETHAM ranked in top 3,TY MOORE ranked in top 3,writeIns ranked in top 3
ABDI ABDULLE,286,286,73,23,30,39,58,1
ALONDRA CANO,1698,504,1698,356,214,367,818,32
CHARLES CURTIS,338,36,150,338,46,88,126,5
GREGORY MCDONALD,117,27,53,12,117,74,18,0
PAT FLEETHAM,153,27,70,34,60,153,41,1
TY MOORE,1569,383,1016,342,125,309,1569,37
writeIns,18,0,3,0,0,1,3,18
