Ballots with first choice:,Number of Ballots,BENJAMIN LANG ranked in top 3,JUMOKE HINTON HODGE ranked in top 3,RICHARD FUENTES ranked in top 3,writeIns ranked in top 3
BENJAMIN LANG,5298,5298,3419,3509,157
JUMOKE HINTON HODGE,9694,5225,9694,5355,169
RICHARD FUENTES,5547,3260,3198,5547,119
writeIns,177,22,25,20,177
