Ballots with first choice:,Number of Ballots,ALICE A. SPEARMAN ranked in top 3,JAMES HARRIS ranked in top 3,writeIns ranked in top 3
ALICE A. SPEARMAN,5966,5966,3116,470
JAMES HARRIS,7986,3968,7986,598
writeIns,154,22,32,154
