Ballots with first choice:,Number of Ballots,Abdi Warsame ranked in top 3,Fadumo Yusuf ranked in top 3,Mohamud Noor ranked in top 3,Tiffini Forslund ranked in top 3,writeIns ranked in top 3
Abdi Warsame,3628,3628,350,823,0,58
Fadumo Yusuf,183,63,183,67,0,9
Mohamud Noor,3389,1219,483,3389,5,86
Tiffini Forslund,6,0,1,5,6,1
writeIns,26,4,1,6,0,26
