Ballots with first choice:,Number of Ballots,DESLEY BROOKS ranked in top 3,JAMES MOORE ranked in top 3,MICHAEL V. JOHNSON ranked in top 3,SHEREDA F. NOSAKHARE ranked in top 3,VICENTE CRUZ ranked in top 3
DESLEY BROOKS,4772,4772,1520,1656,1800,9
JAMES MOORE,1011,319,1011,545,518,0
MICHAEL V. JOHNSON,1943,549,1024,1943,1172,0
SHEREDA F. NOSAKHARE,3354,1047,1685,1739,3354,14
VICENTE CRUZ,82,40,4,3,52,82
