Ballots with first choice:,Number of Ballots,CLAUDINE CHENG ranked in top 3,DAVID CHIU ranked in top 3,DENISE MCCARTHY ranked in top 3,"JOSEPH ALIOTO, JR. ranked in top 3",LYNN JEFFERSON ranked in top 3,MARK QUESSEY ranked in top 3,MIKE DENUNZIO ranked in top 3,TONY GANTNER ranked in top 3,WILMA PANG ranked in top 3,writeIns ranked in top 3
CLAUDINE CHENG,2515,2515,1165,435,837,334,37,188,187,924,2
DAVID CHIU,10270,2757,10270,4292,2172,1146,230,373,2168,2106,12
DENISE MCCARTHY,3172,506,1198,3172,1020,1016,132,285,617,347,8
"JOSEPH ALIOTO, JR.",6285,1550,1787,1869,6285,1212,246,1113,791,533,20
LYNN JEFFERSON,1235,288,285,521,389,1235,67,163,167,179,3
MARK QUESSEY,204,27,54,56,41,48,204,36,19,50,1
MIKE DENUNZIO,1335,244,176,239,558,244,101,1335,231,113,3
TONY GANTNER,1195,214,440,412,401,191,41,152,1195,72,0
WILMA PANG,952,413,404,216,166,185,90,58,62,952,1
writeIns,35,1,4,4,2,1,0,1,1,0,35
