Ballots with first choice:,Number of Ballots,BLONG YANG ranked in top 3,BRETT BUCKNER ranked in top 3,IAN ALEXANDER ranked in top 3,KALE R. SEVERSON ranked in top 3,writeIns ranked in top 3
BLONG YANG,1475,1475,609,652,268,10
BRETT BUCKNER,744,453,744,421,156,13
IAN ALEXANDER,1048,688,586,1048,179,6
KALE R. SEVERSON,220,116,85,84,220,11
writeIns,10,3,1,0,1,10
