Ballots with first choice:,Number of Ballots,ANNIE CAMPBELL WASHINGTON ranked in top 3,JILL BROADHURST ranked in top 3,PAUL LIM ranked in top 3
ANNIE CAMPBELL WASHINGTON,11358.0,100.0,60.4,46.68
JILL BROADHURST,5335.0,68.17,100.0,53.35
PAUL LIM,1011.0,59.55,61.72,100.0
